,CGPA,Chance of Admit
287,9.08,0.89
288,9.02,0.82
289,9.0,0.79
290,7.65,0.58
291,8.604736842105263,0.56
292,7.97,0.56
293,8.18,0.64
294,8.32,
295,8.57,0.68
296,8.67,0.76
297,9.11,0.86
298,9.24,0.9
299,8.65,0.71
300,8.0,0.62
301,8.76,0.66
302,8.45,0.65
303,8.55,0.73
304,8.43,0.62
305,8.8,0.74
306,9.1,0.79
307,9.0,0.8
308,8.53,0.69
309,8.6,0.7
310,8.74,0.76
311,9.18,0.84
312,9.0,0.78
313,8.04,0.67
314,8.13,0.66
315,8.07,
316,7.86,0.54
317,8.01,0.58
318,8.8,0.79
319,8.69,0.8
320,8.5,0.75
321,8.44,0.73
322,8.27,0.72
323,8.18,0.62
324,8.33,0.67
325,9.14,0.81
326,8.02,0.63
327,7.86,0.69
328,8.77,0.8
329,7.89,0.43
330,8.66,0.8
331,8.12,0.73
332,8.21,0.75
333,8.604736842105263,0.71
334,8.65,0.73
335,9.11,0.83
336,8.79,0.72
337,9.47,0.94
338,8.74,
339,8.66,0.81
340,8.46,0.75
341,8.604736842105263,0.79
342,8.24,0.58
343,8.13,0.59
344,7.34,0.47
345,7.43,0.49
346,7.64,0.47
347,7.34,0.42
348,7.25,0.57
349,8.04,0.62
350,8.27,0.74
351,8.67,0.73
352,8.06,0.64
353,8.17,0.63
354,7.67,0.59
355,8.12,0.73
356,8.77,0.79
357,7.89,
358,7.64,0.7
359,8.44,0.81
360,8.64,0.85
361,9.54,0.93
362,9.23,0.91
363,8.36,0.69
364,8.9,0.77
365,9.17,0.86
366,8.34,0.74
367,7.46,0.57
368,7.88,0.51
369,8.03,0.67
370,8.24,0.72
371,9.22,0.89
372,9.62,0.95
373,8.54,0.79
374,7.65,0.39
375,7.66,0.38
376,7.43,0.34
377,7.56,0.47
378,7.65,0.56
379,8.43,0.71
380,8.84,0.78
381,8.67,
382,9.15,0.82
383,8.26,0.62
384,9.74,0.96
385,9.82,0.96
386,7.96,0.46
387,8.1,0.53
388,7.8,0.49
389,8.44,0.76
390,8.24,
391,8.65,0.71
392,8.604736842105263,0.84
393,8.76,0.77
394,9.23,0.89
395,9.04,0.82
396,9.11,
397,9.45,0.91
398,8.78,0.67
399,9.66,0.95
