,Customer ID,Total Quantity,Total Price,Country,Date,Is Back,Purchase Count
142,15042,30,76.5,United Kingdom,2011-05-24,No,5
143,15058,131,7.95,United Kingdom,2011-01-31,Yes,61
144,15708,155,-4.95,United Kingdom,2010-12-05,Yes,45
145,13761,224,15.9,United Kingdom,2011-06-13,Yes,32
146,16574,416,15.0,United Kingdom,2011-09-29,No,28
147,15923,122,4.75,United Kingdom,2010-12-02,No,21
148,16877,35,16.95,United Kingdom,2011-05-15,Yes,26
149,15447,85,10.2,United Kingdom,2011-01-13,No,9
150,16513,21,59.4,United Kingdom,2011-10-27,Yes,2
151,17827,743,17.7,United Kingdom,2010-12-10,Yes,112
152,16260,311,70.8,United Kingdom,2011-10-20,No,18
153,12370,917,163.2,Cyprus,2010-12-14,Yes,83
154,16570,-3,-29.9,United Kingdom,2010-12-14,Yes,2
155,14323,222,10.2,United Kingdom,2011-04-15,Yes,19
156,13717,375,8.4,United Kingdom,2011-02-14,Yes,21
157,17403,117,15.0,United Kingdom,2011-11-03,No,33
158,16811,393,33.0,United Kingdom,2011-11-22,Yes,18
159,14036,268,25.2,United Kingdom,2011-02-28,No,38
160,16454,-1,-15.05,United Kingdom,2011-04-13,Yes,0
161,16073,48,122.4,United Kingdom,2011-02-15,Yes,1
162,12433,1852,21.0,Norway,2010-12-01,Yes,73
163,12837,24,17.0,United Kingdom,2011-06-19,No,12
164,16808,116,13.05,United Kingdom,2011-03-10,Yes,19
165,13334,836,10.5,United Kingdom,2011-02-07,Yes,131
166,13203,145,15.0,United Kingdom,2011-04-11,Yes,10
167,18123,392,8.3,United Kingdom,2011-11-08,Yes,15
168,14457,88,45.0,United Kingdom,2011-02-02,No,4
169,17802,75,10.5,United Kingdom,2010-12-02,Yes,12
170,13525,208,232.0,United Kingdom,2011-04-05,Yes,2
171,14165,54,5.9,United Kingdom,2011-03-09,No,25
172,16841,230,13.5,United Kingdom,2011-02-25,Yes,22
173,12722,156,4.56,France,2011-07-12,Yes,19
174,15427,302,12.5,United Kingdom,2011-10-23,Yes,85
175,17198,124,1.25,United Kingdom,2010-12-03,Yes,53
176,12681,585,17.4,France,2010-12-07,Yes,40
177,13045,221,17.4,United Kingdom,2011-09-01,No,18
178,16115,77,2.5,United Kingdom,2011-02-20,Yes,24
179,15516,24,1.25,United Kingdom,2011-10-24,Yes,14
180,13126,120,15.0,United Kingdom,2010-12-08,Yes,13
181,16625,164,8.5,United Kingdom,2011-03-10,No,23
182,13403,44,15.0,United Kingdom,2011-11-22,No,3
183,16710,197,11.25,United Kingdom,2010-12-06,Yes,58
184,16270,688,30.0,United Kingdom,2010-12-21,No,54
185,17707,78,15.0,United Kingdom,2011-01-07,Yes,3
186,14505,511,4.25,United Kingdom,2010-12-12,Yes,137
187,13158,135,15.0,United Kingdom,2011-01-25,Yes,19
188,14948,72,17.7,United Kingdom,2011-05-04,Yes,13
189,17719,437,14.85,United Kingdom,2011-03-29,Yes,39
190,12587,51,20.8,Finland,2011-12-02,No,3
191,16200,231,33.9,United Kingdom,2011-06-28,Yes,58
192,18061,248,19.5,United Kingdom,2010-12-08,Yes,6
193,14431,130,30.6,United Kingdom,2011-02-10,Yes,17
194,17514,135,2.95,United Kingdom,2011-08-03,No,40
195,12824,232,5.04,United Kingdom,2011-10-11,No,25
196,15290,168,30.0,United Kingdom,2010-12-15,Yes,8
197,12785,131,16.5,Portugal,2010-12-10,Yes,13
198,16383,298,10.5,United Kingdom,2011-03-16,Yes,53
199,14046,460,19.08,United Kingdom,2011-02-28,No,13
200,13486,140,13.52,United Kingdom,2011-07-07,Yes,15
201,12375,87,33.2,Finland,2011-09-02,Yes,10
202,12876,651,20.8,Belgium,2011-05-27,Yes,33
203,12662,157,17.7,Germany,2010-12-01,Yes,14
204,15557,219,35.7,United Kingdom,2011-11-11,No,20
205,17218,131,0.84,United Kingdom,2010-12-06,Yes,51
206,16475,192,15.0,United Kingdom,2011-03-11,Yes,20
207,16893,62,1.65,United Kingdom,2010-12-08,No,45
208,14184,127,33.0,United Kingdom,2011-10-04,No,24
209,14788,193,19.8,United Kingdom,2011-11-13,Yes,15
210,16079,426,85.92,United Kingdom,2011-10-30,Yes,11
211,16368,124,3.4,United Kingdom,2011-11-11,Yes,26
212,13229,63,15.0,United Kingdom,2011-04-28,No,10
213,17672,643,34.8,United Kingdom,2011-02-03,Yes,41
214,15007,69,15.0,United Kingdom,2011-07-03,No,12
215,16947,312,27.04,United Kingdom,2011-04-18,No,21
216,17176,170,10.2,United Kingdom,2011-05-22,No,15
217,14701,143,19.9,United Kingdom,2011-01-27,Yes,57
218,15379,768,45.0,United Kingdom,2010-12-16,Yes,61
219,14180,31,17.7,United Kingdom,2010-12-02,Yes,12
220,17852,53,7.5,United Kingdom,2011-11-28,No,24
221,13849,332,15.0,United Kingdom,2011-06-22,Yes,38
222,16187,371,17.7,United Kingdom,2011-02-28,Yes,31
223,15670,91,17.7,United Kingdom,2011-02-16,No,12
224,13130,32,39.0,United Kingdom,2011-09-06,No,2
225,17511,1568,17.0,United Kingdom,2010-12-01,Yes,24
226,17456,222,10.2,United Kingdom,2010-12-09,No,17
227,15766,170,25.5,United Kingdom,2011-10-06,No,11
228,15724,31,29.7,United Kingdom,2011-02-28,Yes,5
229,12623,191,15.6,Germany,2011-03-08,No,17
230,17779,248,8.25,United Kingdom,2011-07-19,Yes,34
231,13305,132,20.4,United Kingdom,2010-12-02,Yes,5
232,15527,62,4.95,United Kingdom,2010-12-20,Yes,18
233,15857,308,15.0,United Kingdom,2011-11-21,No,14
234,15370,80,21.0,United Kingdom,2011-01-11,Yes,8
235,13561,83,2.08,United Kingdom,2011-05-08,No,14
236,16030,283,9.75,United Kingdom,2011-02-03,No,29
237,14908,132,9.9,United Kingdom,2011-09-26,No,9
238,16160,1012,62.4,United Kingdom,2011-09-15,Yes,15
239,18159,139,175.2,United Kingdom,2011-02-11,No,23
240,12793,65,17.7,Portugal,2010-12-03,Yes,6
241,13937,123,30.6,United Kingdom,2011-06-23,No,9
242,14408,188,18.0,United Kingdom,2011-03-20,Yes,9
243,13750,96,325.44,United Kingdom,2011-01-07,Yes,1
244,14167,39,17.0,United Kingdom,2011-01-12,Yes,18
245,17117,68,17.0,United Kingdom,2011-02-24,No,9
246,12890,259,10.5,United Kingdom,2011-11-15,No,82
247,15743,91,15.0,United Kingdom,2011-06-08,Yes,18
248,18239,208,17.7,United Kingdom,2010-12-02,Yes,29
249,13425,282,10.2,United Kingdom,2011-02-18,Yes,27
250,16339,23,1.45,United Kingdom,2011-02-28,No,20
251,12830,2668,51.84,United Kingdom,2011-06-21,Yes,13
252,15820,128,1.25,United Kingdom,2011-01-24,No,17
253,14907,234,60.0,United Kingdom,2010-12-07,Yes,28
254,14231,117,17.0,United Kingdom,2011-02-24,Yes,19
255,15384,-3,-4.95,United Kingdom,2010-12-02,Yes,2
256,15124,89,7.8,United Kingdom,2011-06-01,Yes,9
257,16978,166,8.5,United Kingdom,2011-09-23,No,39
258,16594,64,1.25,United Kingdom,2011-09-25,No,53
259,13217,100,85.0,United Kingdom,2011-07-06,Yes,1
260,16824,134,22.5,United Kingdom,2011-06-28,Yes,13
261,15093,879,60.48,United Kingdom,2010-12-02,Yes,16
262,14041,94,0.58,United Kingdom,2011-03-18,No,21
263,13853,312,118.44,United Kingdom,2011-10-13,Yes,23
264,17350,204,5.04,United Kingdom,2011-10-19,Yes,25
265,14264,-4,-10.75,United Kingdom,2010-12-02,Yes,2
266,14638,166,57.8,United Kingdom,2011-10-20,No,16
267,14561,183,9.0,United Kingdom,2011-06-08,Yes,16
268,16914,121,9.95,United Kingdom,2011-11-03,No,38
269,15832,465,12.5,United Kingdom,2011-03-30,No,54
270,16313,66,12.6,United Kingdom,2011-10-21,Yes,10
271,14691,162,67.5,United Kingdom,2011-05-11,Yes,17
272,15567,223,99.84,United Kingdom,2011-11-21,No,7
273,15811,95,14.85,United Kingdom,2010-12-09,Yes,16
274,14057,971,1.65,United Kingdom,2010-12-14,Yes,48
275,12561,177,12.6,Germany,2011-02-10,No,16
276,14440,150,17.4,United Kingdom,2010-12-09,Yes,13
277,14733,680,13.68,United Kingdom,2010-12-07,Yes,28
278,18205,76,12.75,United Kingdom,2011-09-26,Yes,15
279,13667,154,4.16,United Kingdom,2011-07-13,No,87
280,15452,137,14.95,United Kingdom,2011-03-20,Yes,43
281,13815,608,22.5,Germany,2011-01-25,Yes,52
282,16212,151,16.5,United Kingdom,2011-03-01,Yes,30
283,16566,14,79.6,United Kingdom,2011-02-20,Yes,2
284,18080,330,841.5,United Kingdom,2011-04-11,Yes,1
285,13999,265,10.0,United Kingdom,2010-12-13,Yes,17
286,16686,318,0.85,United Kingdom,2010-12-19,Yes,87
287,16816,48,17.88,United Kingdom,2010-12-16,Yes,5
288,16221,52,26.25,United Kingdom,2010-12-07,Yes,12
289,12492,69,13.5,Germany,2011-08-26,Yes,8
290,17864,383,11.25,United Kingdom,2011-03-09,Yes,32
291,12659,105,15.0,France,2011-11-10,No,4
292,14532,28,15.9,United Kingdom,2010-12-22,Yes,14
293,13898,133,10.2,United Kingdom,2011-01-18,No,12
294,18178,105,15.0,United Kingdom,2010-12-10,Yes,16
295,16739,172,19.8,United Kingdom,2011-06-16,Yes,13
296,15096,120,17.85,United Kingdom,2011-10-28,No,11
297,15679,212,17.7,United Kingdom,2011-06-10,Yes,13
298,14304,-85,-15.0,United Kingdom,2011-02-11,Yes,10
299,15658,64,11.9,United Kingdom,2010-12-02,Yes,14
300,14119,-2,-19.9,United Kingdom,2010-12-20,No,1
301,15442,120,297.0,United Kingdom,2011-04-05,No,2
302,14289,148,15.0,United Kingdom,2011-02-23,Yes,19
303,16419,98,12.75,United Kingdom,2011-02-01,Yes,17
304,13842,163,15.0,United Kingdom,2010-12-08,Yes,20
305,16745,172,9.75,United Kingdom,2011-02-01,Yes,47
306,12435,879,358.8,Denmark,2011-03-17,Yes,19
307,13933,113,14.85,United Kingdom,2011-07-14,Yes,14
308,16784,24,30.0,United Kingdom,2011-11-20,No,3
309,14815,460,15.0,United Kingdom,2011-10-03,Yes,39
310,12847,909,1.17,United Kingdom,2011-11-17,No,91
311,14129,164,19.8,United Kingdom,2011-03-24,Yes,16
312,18245,297,17.7,United Kingdom,2010-12-19,Yes,27
313,12505,-1,-4.5,Italy,2011-02-11,No,0
314,13720,204,15.8,United Kingdom,2011-03-30,Yes,17
315,12527,113,17.7,Germany,2011-01-18,Yes,9
316,14446,318,2.55,United Kingdom,2011-04-07,Yes,83
317,13029,30,382.5,United Kingdom,2010-12-21,Yes,1
318,14067,216,16.5,United Kingdom,2011-09-04,Yes,25
319,16092,211,19.9,United Kingdom,2011-03-30,Yes,20
320,18081,31,12.75,United Kingdom,2011-07-29,Yes,7
321,13173,114,10.2,United Kingdom,2010-12-07,Yes,23
322,17373,89,13.2,United Kingdom,2011-01-31,Yes,17
323,18263,328,30.6,United Kingdom,2011-04-01,Yes,15
324,12790,166,10.08,Netherlands,2011-05-31,No,20
325,15855,68,15.0,United Kingdom,2011-03-21,Yes,6
326,12426,258,17.7,Germany,2011-05-29,No,29
327,12457,197,19.8,Switzerland,2011-04-14,Yes,22
328,16045,438,10.2,United Kingdom,2011-02-22,Yes,43
329,13771,594,17.7,United Kingdom,2011-04-06,Yes,49
330,12462,287,12.5,Spain,2011-02-09,Yes,39
331,15334,84,15.0,United Kingdom,2011-06-19,Yes,29
332,13430,433,4.56,United Kingdom,2011-09-14,Yes,29
333,14353,64,3.9,United Kingdom,2011-05-08,No,6
334,17572,24,17.7,United Kingdom,2010-12-01,Yes,4
335,18136,177,17.7,United Kingdom,2011-01-24,Yes,18
336,17325,60,11.7,United Kingdom,2011-03-04,No,6
337,15214,402,4.68,United Kingdom,2011-04-11,Yes,35
338,17344,66,5.95,United Kingdom,2011-10-24,No,32
339,13428,156,0.65,United Kingdom,2011-11-29,No,74
340,14651,186,1.14,United Kingdom,2011-05-12,Yes,60
341,15241,434,10.5,United Kingdom,2011-03-01,Yes,28
342,14002,59,15.0,United Kingdom,2011-07-06,Yes,14
343,13282,84,29.7,United Kingdom,2011-05-03,Yes,14
344,13745,496,9.0,United Kingdom,2011-06-30,Yes,25
345,14902,218,16.5,United Kingdom,2011-11-14,Yes,20
346,14428,56,11.8,United Kingdom,2011-01-18,Yes,24
347,12719,162,13.2,France,2011-10-05,Yes,17
348,16909,436,77.76,United Kingdom,2011-09-28,Yes,18
349,13584,37,9.95,United Kingdom,2011-02-06,No,24
350,15491,518,19.8,United Kingdom,2011-04-18,Yes,60
351,12740,342,13.2,France,2011-10-07,No,27
352,14109,88,15.0,United Kingdom,2011-09-28,Yes,9
353,15730,314,12.75,United Kingdom,2011-05-17,Yes,29
354,15677,319,15.0,United Kingdom,2011-10-21,No,33
355,18093,496,76.32,United Kingdom,2011-02-10,Yes,19
356,13521,180,5.95,United Kingdom,2011-11-29,Yes,126
357,16407,108,8.75,United Kingdom,2011-01-31,Yes,20
358,18212,101,19.9,United Kingdom,2011-01-17,No,43
359,13058,9,16.35,United Kingdom,2011-07-11,Yes,3
360,15689,56,15.0,United Kingdom,2010-12-13,Yes,6
361,17722,525,59.8,United Kingdom,2010-12-08,Yes,45
362,13564,256,17.0,United Kingdom,2010-12-06,Yes,41
363,13012,165,9.0,United Kingdom,2011-02-18,Yes,19
364,12407,215,25.0,Belgium,2011-03-20,Yes,14
365,14512,50,13.95,United Kingdom,2011-04-21,Yes,14
366,14794,34,15.0,United Kingdom,2011-01-09,Yes,9
367,14261,387,19.8,United Kingdom,2011-09-22,Yes,45
368,12454,1006,183.6,Spain,2011-10-14,Yes,15
369,14560,69,29.85,United Kingdom,2010-12-17,Yes,14
370,12999,310,5.04,United Kingdom,2011-04-08,Yes,23
371,14459,760,76.5,United Kingdom,2011-07-07,No,37
372,18229,44,119.6,United Kingdom,2010-12-01,Yes,7
373,18127,28,17.7,United Kingdom,2011-07-29,Yes,8
374,16753,189,0.75,United Kingdom,2011-10-12,No,34
375,16119,172,17.7,United Kingdom,2011-09-28,Yes,11
376,13187,95,1.25,United Kingdom,2011-01-06,No,37
377,12792,217,15.0,Portugal,2011-03-28,No,24
378,16556,187,15.9,United Kingdom,2010-12-14,Yes,16
379,13097,90,15.0,United Kingdom,2010-12-14,Yes,11
380,13940,100,10.2,United Kingdom,2011-07-18,Yes,15
381,18204,392,2.95,United Kingdom,2011-05-31,Yes,93
382,12524,392,8.4,Germany,2011-01-10,Yes,15
383,13644,659,15.0,United Kingdom,2011-08-26,Yes,48
384,14027,62,17.4,United Kingdom,2011-10-10,No,6
385,17463,417,10.5,United Kingdom,2011-01-30,Yes,94
386,14023,162,15.0,United Kingdom,2011-04-03,Yes,16
387,12758,1109,40.56,Portugal,2011-03-08,Yes,56
388,13016,315,17.4,United Kingdom,2011-08-08,Yes,28
389,17955,66,4.95,United Kingdom,2011-05-04,Yes,13
390,17584,245,39.6,United Kingdom,2011-08-04,Yes,16
391,17430,60,15.6,United Kingdom,2010-12-09,Yes,5
392,14963,167,5.85,United Kingdom,2011-06-09,Yes,38
393,18248,242,35.7,United Kingdom,2011-06-06,Yes,28
394,15649,120,510.0,United Kingdom,2010-12-07,Yes,1
395,12504,87,131.4,Germany,2011-11-09,Yes,5
396,12547,109,30.0,Spain,2011-03-04,Yes,5
397,17573,177,15.0,United Kingdom,2011-09-07,Yes,11
398,17615,69,12.5,United Kingdom,2011-05-01,Yes,5
399,12463,187,13.5,Belgium,2011-04-12,Yes,19
400,16850,249,19.8,United Kingdom,2011-01-10,No,19
401,13514,40,39.9,United Kingdom,2011-09-27,No,4
402,13155,168,1.45,United Kingdom,2010-12-06,Yes,52
403,13897,200,15.0,United Kingdom,2011-10-20,No,17
404,17385,201,15.0,United Kingdom,2011-11-25,No,47
405,13568,70,8.3,United Kingdom,2011-06-19,No,44
406,16136,66,35.4,United Kingdom,2011-03-07,Yes,8
407,13338,256,10.2,United Kingdom,2011-07-05,Yes,19
408,14177,39,8.25,United Kingdom,2011-06-13,Yes,20
409,12361,91,23.4,Belgium,2011-02-25,No,9
410,16729,390,43.45,United Kingdom,2011-04-12,Yes,31
411,12985,841,15.0,United Kingdom,2011-11-11,Yes,52
412,17212,147,3.95,United Kingdom,2011-03-31,No,4
413,14173,40,7.8,United Kingdom,2011-05-04,Yes,11
414,15073,0,15.0,United Kingdom,2011-06-06,Yes,44
415,13958,-23,-15.9,United Kingdom,2010-12-02,No,5
416,17232,110,30.6,United Kingdom,2011-11-25,Yes,17
417,17951,118,75.6,United Kingdom,2010-12-01,Yes,5
418,13821,110,25.5,United Kingdom,2011-03-23,Yes,42
419,13482,116,17.4,United Kingdom,2011-04-21,No,11
420,13355,314,17.7,United Kingdom,2011-08-09,No,32
421,17682,210,35.4,United Kingdom,2010-12-06,Yes,18
422,13381,267,27.04,United Kingdom,2011-02-14,Yes,24
423,14825,72,35.4,United Kingdom,2010-12-06,Yes,10
424,15255,489,17.7,United Kingdom,2011-10-04,No,47
425,18042,33,9.9,United Kingdom,2011-10-17,No,7
426,14739,476,30.0,United Kingdom,2010-12-07,Yes,12
427,18193,-3,-20.85,United Kingdom,2010-12-08,Yes,1
428,13697,177,15.0,United Kingdom,2011-11-01,No,12
429,14813,67,2.55,United Kingdom,2010-12-05,No,30
430,15381,162,35.4,United Kingdom,2011-03-16,Yes,7
431,14287,216,30.0,United Kingdom,2011-05-25,Yes,4
432,12841,186,2.1,United Kingdom,2010-12-03,Yes,24
433,18018,3,29.95,United Kingdom,2011-05-24,Yes,2
434,13837,62,7.5,United Kingdom,2011-01-26,Yes,9
435,13632,98,7.95,United Kingdom,2011-04-10,Yes,41
436,16265,369,74.25,United Kingdom,2010-12-10,Yes,38
437,14520,100,165.0,United Kingdom,2011-02-22,Yes,1
438,14502,66,2.1,United Kingdom,2011-01-30,Yes,43
439,12916,325,15.3,United Kingdom,2011-01-23,Yes,40
440,18168,129,-1.95,United Kingdom,2010-12-02,Yes,31
441,15506,146,7.95,United Kingdom,2011-07-24,Yes,53
442,13900,154,15.0,United Kingdom,2011-03-22,Yes,16
443,15320,326,2.95,United Kingdom,2011-10-26,No,36
444,16471,141,15.8,United Kingdom,2011-03-10,No,13
445,16026,243,6.25,United Kingdom,2011-10-27,No,32
446,15764,623,17.7,United Kingdom,2011-03-08,Yes,59
447,13174,700,19.9,United Kingdom,2010-12-05,Yes,169
448,15489,220,19.5,United Kingdom,2011-05-12,Yes,23
449,16988,43,19.8,United Kingdom,2011-12-04,No,7
450,17960,41,1.65,United Kingdom,2011-06-21,No,26
451,14149,218,17.7,United Kingdom,2011-05-03,Yes,28
452,15990,171,47.6,United Kingdom,2011-02-25,Yes,23
453,17727,645,12.6,United Kingdom,2011-11-24,Yes,66
454,15841,132,81.6,United Kingdom,2011-01-05,Yes,7
455,17655,274,81.6,United Kingdom,2010-12-08,Yes,9
456,15179,-30,-16.5,United Kingdom,2010-12-10,Yes,1
457,13563,146,12.75,United Kingdom,2011-07-22,Yes,39
458,14536,40,0.85,United Kingdom,2011-03-25,No,19
459,14965,365,2.08,United Kingdom,2011-09-04,No,83
460,15814,807,20.0,United Kingdom,2011-10-20,Yes,38
